"DBN","School Name","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","FL Percent","FRL Percent","Pre-K Demographics","K Demographics","Grade 1 Demographics","Grade 2 Demographics","Grade 3 Demographics","Grade 4 Demographics","Grade 5 Demographics","Grade 6 Demographics","Grade 7 Demographics","Grade 8 Demographics","Grade 9 Demographics","Grade 10 Demographics","Grade 11 Demographics","Grade 12 Demographics","Number of English Language Learners","Percent of English Language Learners","Number of Special Education Students","Percent of Special Education Students","Number of Collaborative Team Teaching Students","Number of Self-Contained Classroom Students","Number of Asian Students","Percent of Asian Students","Number of Black Students","Percent of Black Students","Number of Hispanic Students","Percent of Hispanic Students","Number of White Students","Percent of White Students","Number of Male Students","Percent of Male Students","Number of Female Students","Percent of Female Students","Number of Students in Cohort","Number of Graduation Students in Cohort","Percent of Graduation Students in Cohort","Number of Regents in Cohort","Total Regents - % of cohort","Total Regents - % of grads","Advanced Regents - n","Advanced Regents - % of cohort","Advanced Regents - % of grads","Regents without Advanced - n","Regents without Advanced - % of cohort","Regents without Advanced - % of grads","Local - n","Local - % of cohort","Local - % of grads","Still Enrolled - n","Still Enrolled - % of cohort","Dropped Out - n","Dropped Out - % of cohort","Number of Students Tested for ELA","ELA Mean Scale Score","Number of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 1 in ELA","Number of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 2 in ELA","Number of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 3 in ELA","Number of Students Scoring Level 4 in ELA","Percent of Students Scoring Level 4 in ELA","Number of Students Tested for Math","Math Mean Scale Score","Number of Students Scoring Level 1 in Math","Percent of Students Scoring Level 1 in Math","Number of Students Scoring Level 2 in Math","Percent of Students Scoring Level 2 in Math","Number of Students Scoring Level 3 in Math","Percent of Students Scoring Level 3 in Math","Number of Students Scoring Level 4 in Math","Percent of Students Scoring Level 4 in Math"
"K001","P.S. 001 The Bergen","10043886","1061","9466.4336","General Academic","Elementary","309 47 STREET","BROOKLYN","NY","11220","K","40.64918630000000","-74.01252389999999","[-74.01252389999999,40.6491863]","EMS","C","0","90","36","170","183","205","152","157","158","0","0","0","0","0","0","0","376","35","149","14","58","39","52","5","16","2","970","91","21","2","505","48","556","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"439","0","59","13","221","50","141","32","18","4","454","0","25","6","183","40","177","39","69","15"
"K002","Parkside Preparatory Academy","5253753","400","13134.3825","General Academic","Junior High-Intermediate-Middle","655 PARKSIDE AVENUE","BROOKLYN","NY","11226","K","40.65617150000000","-73.95157180000000","[-73.9515718,40.6561715]","EMS","B","0","95","0","0","0","0","0","0","0","112","138","150","0","0","0","0","48","12","86","22","19","53","11","3","330","83","46","12","7","2","206","52","194","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"374","0","82","21","180","48","103","27","9","2","389","0","76","19","189","48","90","23","34","9"
"K003","P.S. 003 The Bedford Village","4824528","638","7561.9561","General Academic","Elementary","50 JEFFERSON AVENUE","BROOKLYN","NY","11216","K","40.68228800000000","-73.95520100000000","[-73.955201,40.682288]","EMS","C","0","78","53","107","96","98","98","106","80","0","0","0","0","0","0","0","44","7","62","10","11","19","52","8","510","80","44","7","9","1","302","47","336","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"269","0","44","16","112","41","100","37","13","5","273","0","29","10","107","39","101","37","36","13"
"K005","P.S. 005 Dr. Ronald Mcnair","4979698","460","10825.4304","General Academic","Elementary","820 HANCOCK STREET","BROOKLYN","NY","11233","K","40.68560300000000","-73.92321220000000","[-73.9232122,40.685603]","EMS","B","0","90","17","75","70","90","82","71","55","0","0","0","0","0","0","0","14","3","78","17","11","33","6","1","374","81","65","14","13","3","219","48","241","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"193","0","34","17","74","38","76","39","9","5","193","0","23","11","75","38","59","30","36","19"
"K006","P.S. 006","6046410","660","9161.2273","General Academic","Elementary","43 SNYDER AVENUE","BROOKLYN","NY","11226","K","40.64860350000000","-73.95667080000000","[-73.9566708,40.6486035]","EMS","B","0","94","0","65","100","120","124","137","114","0","0","0","0","0","0","0","79","12","100","15","19","46","6","1","542","82","95","14","11","2","312","47","348","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"355","0","56","15","160","45","119","33","20","6","361","0","49","13","158","43","111","30","43","12"
"K007","P.S. 007 Abraham Lincoln","7459702","957","7794.8819","General Academic","Elementary","858 JAMAICA AVENUE","BROOKLYN","NY","11208","K","40.68967250000000","-73.87311450000000","[-73.8731145,40.6896725]","EMS","B","0","84","72","172","186","190","164","173","0","0","0","0","0","0","0","0","188","19","93","10","9","50","46","5","165","17","706","74","12","1","488","51","469","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"322","0","42","13","138","42","126","39","16","5","340","0","27","8","109","32","122","35","82","24"
"K008","P.S. 008 Robert Fulton","4273113","541","7898.5453","General Academic","Elementary","37 HICKS STREET","BROOKLYN","NY","11201","K","40.70084980000000","-73.99301650000000","[-73.9930165,40.7008498]","EMS","C","0","40","35","92","113","81","74","69","77","0","0","0","0","0","0","0","16","3","77","14","48","2","41","8","143","26","62","12","279","52","288","53","253","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"201","0","9","5","54","26","86","42","52","25","200","0","2","1","40","20","88","44","70","35"
"K009","P.S. 009 Teunis G. Bergen","5238302","538","9736.6208","General Academic","Elementary","80 UNDERHILL AVENUE","BROOKLYN","NY","11238","K","40.67852200000000","-73.96633500000000","[-73.966335,40.678522]","EMS","C","0","87","54","95","77","72","81","80","79","0","0","0","0","0","0","0","22","4","89","17","27","34","34","6","362","67","60","11","59","11","261","49","277","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"222","0","25","11","89","40","87","39","21","10","225","0","23","10","84","37","86","38","32","14"
"K010","Magnet School of Math, Science and Design Technology","7550180","725","10414.0414","General Academic","Elementary","511 7 AVENUE","BROOKLYN","NY","11215","K","40.75328560000000","-73.98893220000000","[-73.9889322,40.7532856]","EMS","A","0","82","59","176","131","106","95","75","83","0","0","0","0","0","0","0","58","8","160","22","52","28","45","6","108","15","278","38","272","38","369","51","356","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"204","0","11","5","67","32","91","44","35","17","206","0","6","3","58","28","93","45","49","24"
"K011","P.S. 011 Purvis J. Behan","4193674","574","7306.0523","General Academic","Elementary","419 WAVERLY AVENUE","BROOKLYN","NY","11238","K","40.68541500000000","-73.96618219999999","[-73.96618219999999,40.685415]","EMS","B","0","65","53","121","91","91","80","78","60","0","0","0","0","0","0","0","9","2","53","9","8","20","7","1","443","77","45","8","59","10","288","50","286","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"208","0","14","7","80","38","96","46","18","9","209","0","12","6","70","33","76","36","51","24"
