"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"47 The American Sign Language and English Secondary School","M047","2914478","157","18563.5541","Special Education","Secondary School","223 EAST 23 STREET","MANHATTAN","NY","10010","M","40.73825420000000","-73.98176130000000","[-73.9817613,40.7382542]","EMS","None","24","38","17","44","0","0","17","44","38","13",,,,,,,,,,
"A. Philip Randolph Campus High School","M540","9641584","1473","6545.5424","General Academic","High School","443 WEST 135 STREET","MANHATTAN","NY","10031","M","40.81840780000000","-73.95083830000000","[-73.9508383,40.8184078]",,,"228","86","86","100","31","36","56","65","11","1",,,,,,,,,,
"Abraham Lincoln High School","K410","16024031","2533","6326.1078","General Academic","High School","2800 OCEAN PARKWAY","BROOKLYN","NY","11235","K","40.58261000000000","-73.96872300000000","[-73.968723,40.58261]",,,"639","58","47","81","18","30","29","50","26","12",,,,,,,,,,
"Academy for Careers in Television and Film","Q301","1834000","219","8374.4292","Career Technical","High School","1-50 51st Avenue","NEW YORK","NY","11101","Q","40.74245100000000","-73.95655870000000","[-73.9565587,40.742451]",,,,,,,,,,,,,,,,,,,,,,
"Academy for College Preparation and Career Exploration: A College Board School","K382","4291105","599","7163.7813","General Academic","Secondary School","911 FLATBUSH AVENUE","BROOKLYN","NY","11226","K","40.64954100000000","-73.95850070000000","[-73.9585007,40.649541]","EMS","D","1","0","0","0","0","0","0","0","0","0","2.200","10","61","28","1","2.323","11","54","25","9"
"Academy for Conservation and the Environment","K637","1339043","130","10300.3308","General Academic","High School","6565 FLATLANDS AVENUE","BROOKLYN","NY","11236","K","40.63314200000000","-73.91707199999999","[-73.91707199999999,40.633142]",,,,,,,,,,,,,,,,,,,,,,
"Academy for Environmental Leadership","K403","3398532","372","9135.8387","General Academic","High School","400 IRVING AVENUE","BROOKLYN","NY","11237","K","40.69698250000000","-73.91082250000000","[-73.9108225,40.6969825]",,,"6","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Academy for Language and Technology","X365","2500099","302","8278.4735","General Academic","High School","1700 MACOMBS ROAD","BRONX","NY","10453","X","40.84972350000000","-73.91575689999999","[-73.91575689999999,40.8497235]",,,,,,,,,,,,,,,,,,,,,,
"Academy for New Americans","Q235","1756090","163","10773.5583","General Academic","Intermediate","30-14 30 STREET","QUEENS","NY","11102","Q","40.76738599999999","-73.92226550000000","[-73.9222655,40.76738599999999]","EMS","A",,,,,,,,,,,"1.370","74","17","7","2","2.010","31","42","20","6"
"Academy for Scholarship and Entrepreneurship: A College Board School","X270","4892269","623","7852.7592","General Academic","Secondary School","921 EAST 228TH STREET","BRONX","NY","10466","X","40.88776580000000","-73.85249290000000","[-73.8524929,40.8877658]","EMS","C","71","59","31","52","4","7","27","45","30","10","2.040","22","50","26","0","1.969","24","56","15","3"
"Academy for Social Action: A College Board School","M367","3408907","397","8586.6675","General Academic","Secondary School","509 WEST 129 STREET","MANHATTAN","NY","10027","M","40.81509280000000","-73.95496410000000","[-73.9549641,40.8150928]","EMS","B",,,,,,,,,,,"2.060","15","64","19","1","2.212","13","56","26","4"
"Academy for Young Writers","K404","2517988","375","6714.6347","General Academic","High School","1065 ELTON STREET","BROOKLYN","NY","11208","K","40.65755760000000","-73.87475930000000","[-73.8747593,40.6575576]",,,"2","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Academy of American Studies","Q575","3917118","706","5548.3258","General Academic","High School","28-04 41 AVENUE","QUEENS","NY","11101","Q","40.75133020000000","-73.93745090000000","[-73.9374509,40.7513302]",,,"118","77","75","98","36","47","39","51","18","2",,,,,,,,,,
"Academy of Applied Mathematics and Technology","X343","2280772","235","9705.4128","General Academic","Intermediate","345 BROOK AVENUE","BRONX","NY","10454","X","40.80990780000000","-73.91805590000000","[-73.9180559,40.8099078]","EMS","A",,,,,,,,,,,"1.918","22","62","14","0","2.484","10","42","36","11"
"Academy of Arts and Letters","K492","1933304","291","6643.6564","General Academic","Intermediate","225 ADELPHI STREET","BROOKLYN","NY","11205","K","40.69133480000000","-73.97126000000000","[-73.97126,40.6913348]","EMS","B",,,,,,,,,,,"2.515","4","43","49","3","2.575","8","40","37","14"
"Academy of Environmental Science Secondary High School","M635","3746039","437","8572.1716","General Academic","Secondary School","410 EAST 100 STREET","MANHATTAN","NY","10029","M","40.78509200000001","-73.94214699999999","[-73.94214699999999,40.78509200000001]","EMS","None","85","49","20","41","1","2","19","38","35","12",,,,,,,,,,
"Academy of Finance and Enterprise","Q264","2616611","397","6590.9597","General Academic","High School","30-20 THOMSON AVENUE","QUEENS","NY","11101","Q","40.74492380000000","-73.93693100000002","[-73.93693100000002,40.7449238]",,,"84","87","83","96","32","37","51","59","11","2",,,,,,,,,,
"Academy of Hospitality and Tourism","K408","2594489","314","8262.7038","General Academic","High School","911 FLATBUSH AVENUE","BROOKLYN","NY","11226","K","40.64954100000000","-73.95850070000000","[-73.9585007,40.649541]",,,"3","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Academy of Innovative Technology","K618","1940715","206","9420.9466","Career Technical","High School","999 JAMAICA AVENUE","BROOKLYN","NY","11208","K","40.69228000000000","-73.86892700000000","[-73.868927,40.69228]",,,,,,,,,,,,,,,,,,,,,,
"Academy of Medical Technology: A College Board School","Q309","1767825","252","7015.1786","General Academic","Secondary School","8-21 BAY 25 STREET","QUEENS","NY","11691","Q","40.60153200000000","-73.76397899999999","[-73.76397899999999,40.601532]","EMS","D",,,,,,,,,,,"2.060","21","52","25","1","2.357","14","45","29","10"
"Academy of Public Relations","X298","2663550","225","11838.0000","General Academic","Intermediate","778 FOREST AVENUE","BRONX","NY","10456","X","40.81889930000000","-73.90587070000000","[-73.9058707,40.8188993]","EMS","A",,,,,,,,,,,"1.878","30","52","16","1","2.071","24","50","17","7"
"Academy of Urban Planning","K552","3925379","469","8369.6780","General Academic","High School","400 IRVING AVENUE","BROOKLYN","NY","11237","K","40.69698250000000","-73.91082250000000","[-73.9108225,40.6969825]",,,"106","59","23","38","1","2","22","37","26","12",,,,,,,,,,
"Accion Academy","X341","1712886","183","9360.0328","General Academic","Intermediate","1825 PROSPECT AVENUE","BRONX","NY","10457","X","40.84232230000000","-73.89099430000000","[-73.8909943,40.8423223]","EMS","A",,,,,,,,,,,"1.918","22","62","14","0","2.050","19","58","20","2"
"ACORN Community High School","K499","5491047","696","7889.4353","General Academic","High School","561 GRAND AVENUE","BROOKLYN","NY","11238","K","40.67856900000000","-73.96161800000000","[-73.961618,40.678569]",,,"172","62","47","76","7","11","40","65","24","8",,,,,,,,,,
"Albert Shanker School for Visual and Performing Arts","Q126","5855404","625","9368.6464","General Academic","Intermediate","31-51 21 STREET","QUEENS","NY","11106","Q","40.76630830000000","-73.93064550000000","[-73.9306455,40.7663083]","EMS","C",,,,,,,,,,,"1.989","24","53","21","1","2.173","19","50","22","7"
"Alfred E. Smith Career and Technical Education High School","X600","10221296","1096","9326.0000","Career Technical","High School","333 EAST 151 STREET","BRONX","NY","10451","X","40.81820260000000","-73.91967600000000","[-73.919676,40.8182026]",,,"271","42","26","62","19","44","8","18","26","26",,,,,,,,,,
"All City Leadership Secondary School","K554","2047259","251","8156.4104","General Academic","Secondary School","321 Palmetto Street","NEW YORK","NY","11237","K","40.69744439999999","-73.91310519999999","[-73.91310519999999,40.69744439999999]","EMS","C","46","80","50","62","9","11","41","51","20","0","2.707","2","32","58","7","2.949","0","27","50","22"
"Amistad Dual Language School","M311","3567806","433","8239.7367","General Academic","K-8","4862 BROADWAY","MANHATTAN","NY","10034","M","40.86682090000001","-73.92368060000000","[-73.9236806,40.86682090000001]","EMS","A",,,,,,,,,,,"2.535","6","39","49","5","2.898","2","28","46","22"
"Ampark Neighborhood","X344","1021983","130","7861.4077","General Academic","Elementary","3961 HILLMAN AVENUE","BRONX","NY","10463","X","40.88302190000000","-73.89167200000000","[-73.891672,40.8830219]","EMS","None",,,,,,,,,,,"2.666","2","45","36","16","3.000","4","25","38","33"
"Andries Hudde","K240","8701136","1160","7500.9793","General Academic","Intermediate","2500 NOSTRAND AVENUE","BROOKLYN","NY","11210","K","40.62371160000000","-73.94631880000000","[-73.9463188,40.6237116]","EMS","B",,,,,,,,,,,"2.306","13","46","35","4","2.636","9","38","32","20"
"Antonia Pantoja Preparatory Academy: A College Board School","X376","2264067","284","7972.0669","General Academic","Intermediate","1980 LAFAYETTE AVENUE","BRONX","NY","10473","X","40.82232550000000","-73.85595690000000","[-73.8559569,40.8223255]","EMS","C",,,,,,,,,,,"2.151","14","57","27","1","2.404","13","45","29","12"
"Archimedes Academy for Math, Science and Technology Applications","X367","3071628","307","10005.3029","General Academic","Intermediate","456 WHITE PLAINS ROAD","BRONX","NY","10473","X","40.81500490000000","-73.85631149999999","[-73.85631149999999,40.8150049]","EMS","C",,,,,,,,,,,"2.050","17","61","20","1","2.030","24","51","19","4"
